filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,code_9_digits,file_number
1.wav,-207.15753,145.8479,-42.86176,54.5241,-45.399162,21.500137,-3.361979,-46.966465,2.711988,-24.56717,6.243461,-0.09486079,-11.702858,10.256405,-18.211708,-9.423905,-5.1139183,-18.98597,3.6483812,6.638081,156.00623778284915,0.10284423828125,810103241,810103241
10.wav,-178.31839,161.81177,-49.102604,53.828884,-54.937584,0.919866,1.692595,-46.804337,17.916626,-15.256493,-14.481514,10.0335045,-4.2353463,0.013298392,-17.403873,-13.16886,-6.4352846,-15.387593,1.2362363,-4.218707,0.0,0.11920166015625,810103241,810103241
11.wav,-187.77545,187.41882,-12.634927,21.195316,-53.744736,-8.121752,4.669693,-16.380455,5.089929,-10.813612,3.1785207,-17.33863,-11.608795,6.747904,-15.033713,0.155718,-8.5788,-7.5988755,-4.977981,-15.831279,199.5520811326083,0.057281494140625,810103241,810103241
12.wav,-268.07025,142.01358,-97.74932,58.190872,-19.668991,-8.125052,2.6948752,-14.011066,21.193764,-32.117535,-5.259995,6.5382986,-13.801609,7.18169,-25.463417,-10.076086,1.7282982,-20.210888,0.08681905,0.9119045,216.402509681775,0.103302001953125,810103241,810103241
13.wav,-186.71912,167.96194,-54.18546,33.047142,-43.21577,15.241742,8.863159,-63.374912,-2.022775,-2.534798,1.6675771,3.2148082,-14.261354,1.3979951,-14.540457,-5.2936883,-4.369119,-19.15958,6.450214,0.9219573,154.26727205821007,0.0673828125,810103241,810103241
14.wav,-234.979,132.08113,-63.015537,87.37935,-41.350697,-9.944208,-17.952312,-32.124283,36.585693,-24.365284,-1.7203665,2.9741669,-19.746952,8.078171,-28.141506,-13.726081,2.9450781,-11.539408,6.454063,-4.864558,0.0,0.133209228515625,810103241,810103241
15.wav,-193.50967,163.73413,-47.465816,76.1142,-21.387707,-10.125631,3.573472,-31.053022,-4.2021704,-15.657875,4.8953075,-11.669765,-6.3530188,5.3978653,-28.293983,11.495935,-5.6438684,-22.248959,15.962892,-11.469706,190.75912363253173,0.07037353515625,810103241,810103241
16.wav,-241.69167,128.81383,-67.02314,72.1829,-21.116697,-6.6335497,-22.92673,-34.756756,9.475802,-19.832573,-0.46193504,1.5048375,-2.8108997,-0.32449326,-13.007248,-6.30626,-6.702433,-7.0585537,-0.48699075,5.635183,171.47396400463933,0.1201171875,810103241,810103241
17.wav,-225.48308,105.70043,-35.93804,116.49156,-15.161068,17.11539,-32.067,-43.224968,8.056471,-30.890072,-5.4934607,-14.557947,-5.74638,3.8501368,-12.604256,-4.2457223,-5.9999123,-5.0169497,-0.13627696,-3.579388,150.67367371487612,0.126434326171875,810103241,810103241
18.wav,-251.4252,162.41866,-62.589897,49.66986,-7.342658,-18.18061,-29.228123,-28.226074,15.830776,4.548709,19.140596,3.5939054,4.3651943,16.510391,-21.222061,-16.759394,-10.464823,-15.954332,-1.4815581,5.5361395,808.3214367846186,0.067840576171875,810103241,810103241
19.wav,-255.80847,83.608604,-25.760094,149.27902,-37.09237,-12.130628,-11.964708,-43.915703,-6.004507,-52.194183,5.5483556,-0.877651,-22.95276,24.786959,-11.92392,-9.246205,0.051194966,-17.783941,4.343505,-3.3750994,182.0532676547717,0.16998291015625,810103241,810103241
2.wav,-243.67982,86.90101,-36.871277,146.16415,-7.7224293,-18.7409,0.09857011,-27.708986,4.9333243,-32.43047,-14.019533,-4.8553348,-9.631497,-0.7929044,-8.274622,9.3531275,-16.823467,-13.305198,6.7299485,-17.034843,173.01016596815126,0.113616943359375,810103241,810103241
20.wav,-220.60373,133.97449,-30.202404,64.76254,-37.709007,15.387939,-18.772902,-54.109062,11.252218,-14.672281,-1.7391742,-6.075235,8.472015,5.2501802,-26.452011,18.960907,-10.049474,-26.207714,10.227746,-12.721792,175.24797450385788,0.10546875,810103241,810103241
3.wav,-195.4878,149.16206,-41.28678,93.68167,-23.014603,-7.840865,-6.603735,-31.92303,5.881975,-24.925842,-6.471326,-13.469934,-2.0541463,9.9844265,-26.613567,7.771716,-3.5899136,-18.761696,5.9159384,-11.387672,212.6405340790393,0.074951171875,810103241,810103241
4.wav,-218.75002,144.3114,-60.999866,75.24255,-37.16558,14.920441,-23.28109,-38.5113,22.576523,-27.612198,5.7685695,4.319998,-3.385381,21.392286,-20.242195,-13.083864,3.3947682,-18.2507,-0.7275181,0.46734,170.50241288319742,0.153778076171875,810103241,810103241
5.wav,-277.43567,153.3584,20.637457,45.83914,-22.97013,12.8738365,8.010956,-10.407726,-0.13441038,-39.1914,-17.806198,-3.0564678,2.166493,8.433294,-13.57094,-2.4854052,-4.8945804,-8.601638,3.3331327,-7.637558,193.14193781647765,0.054107666015625,810103241,810103241
6.wav,-237.40402,148.83739,-66.99525,83.68275,-33.61862,-12.049438,-14.70722,-30.133629,20.674412,-27.032135,9.063482,-1.9132072,-19.539639,10.103919,-29.420261,-3.9393978,0.5005939,-15.385344,10.2351675,-5.0774784,176.33791566729315,0.097503662109375,810103241,810103241
7.wav,-230.97144,153.6669,-104.22197,47.21968,-45.885437,-4.167364,-4.5295887,-25.821754,31.143997,-20.16491,3.0178611,2.9221983,-16.628214,8.786209,-22.89917,-8.993183,2.070034,-13.134758,-4.114923,-6.0085087,0.0,0.158447265625,810103241,810103241
8.wav,-227.58282,103.801605,-18.79775,113.52777,-31.341797,5.2063723,2.4174404,-32.02781,-2.1887932,-27.055637,-5.541341,-6.335108,-5.356768,0.36512327,-7.016464,0.4759133,-7.067207,-7.2721076,-0.009906411,-2.8731499,169.65831018930928,0.16326904296875,810103241,810103241
9.wav,-207.25278,107.50837,-48.542206,102.48678,-20.192455,0.067293644,-13.171568,-11.168217,5.097482,-61.30312,2.6703882,1.0347611,-21.580894,9.648918,-16.692995,1.9097719,0.87425447,-18.61906,4.9447966,-3.518504,172.83064500180262,0.1849365234375,810103241,810103241
1.wav,-249.59012,151.93556,-93.58934,74.459366,-40.358574,-2.7362528,2.11897,-54.510265,26.905172,3.6887524,-4.0884976,0.89438677,-23.001972,1.0501678,-9.800467,-13.017136,-0.10418272,-11.008432,-3.130451,0.06389105,198.0817775848217,0.152069091796875,810103241,810103241
10.wav,-213.71138,147.68433,-46.51528,94.42265,-42.651283,-1.3735894,17.019344,-40.463383,6.8063693,-17.533512,-2.9432492,0.8255254,-20.772287,0.8954303,-2.3244607,0.99359405,-7.1933537,-11.410744,2.0106626,-2.2823927,163.92401013058978,0.07958984375,810103241,810103241
11.wav,-167.66911,157.17953,-69.83331,87.11899,6.6883564,-3.1446955,-10.899365,-26.516209,16.224379,-11.30376,-0.91531444,-9.706933,-12.584175,8.966129,-16.00094,-8.236361,-9.825115,-19.670969,3.6585455,1.058463,189.4078405720704,0.065582275390625,810103241,810103241
12.wav,-244.28717,146.71635,-37.337532,58.603645,-46.142754,-9.852559,-7.404897,-37.290432,26.517574,-7.2470965,-28.126629,-8.331389,-5.7732124,-12.51321,-10.503537,-9.029844,-20.859404,-4.1680913,-5.069706,-8.829547,285.0194024669631,0.078643798828125,810103241,810103241
13.wav,-258.45746,161.55603,-77.73516,67.71795,-10.9099865,-5.2873063,-4.676591,-26.087019,14.481119,-4.4383183,-5.062624,-14.702295,-16.192785,-0.28962922,-5.725539,-12.088675,-14.144361,-5.0602894,-8.023769,-1.4639908,0.0,0.08953857421875,810103241,810103241
14.wav,-175.33232,136.07703,-64.542175,77.471245,-35.336823,11.812754,-20.817425,-30.427128,13.193113,-30.125986,-1.1594601,-5.0311036,-7.1714983,-3.917516,-9.631292,2.193501,-4.8866067,-9.575069,-4.7429976,8.328672,156.43319253043634,0.157440185546875,810103241,810103241
15.wav,-181.50809,175.43369,-34.342876,20.467945,-37.761425,20.001482,15.196063,-22.127182,9.258486,-6.537741,4.5816393,3.6616616,2.665696,-1.5929697,-16.166878,-4.312706,-10.731588,-5.445285,-3.603414,-6.310423,189.2348796122156,0.052947998046875,810103241,810103241
16.wav,-236.31377,147.11768,7.6428595,38.544537,-1.2196951,9.407131,24.432251,-0.45188475,8.253372,-1.8513689,-2.3712695,4.4868073,-1.4461942,4.89389,-4.858161,-10.130964,-1.5257988,-4.124781,-6.86213,-4.6408005,186.1083033606476,0.025146484375,810103241,810103241
17.wav,-244.51263,137.40211,-62.19123,70.45146,-35.34999,-0.083556175,-21.187737,-34.70128,29.02908,-11.6180725,-14.426793,-10.187607,-2.6002655,-3.996237,-15.244002,-0.91210276,-13.42818,-13.965769,2.4281244,-2.9365711,196.90986154076683,0.13214111328125,810103241,810103241
18.wav,-206.10193,155.54819,-95.52779,63.921196,-23.033604,14.047077,3.472213,-25.028591,35.860672,-2.0675821,-4.8929434,9.745089,-6.334512,-4.9382997,-2.7053165,-12.176816,-11.717845,-3.444817,-7.178482,2.5834887,0.0,0.14935302734375,810103241,810103241
19.wav,-218.35097,134.47943,-54.294586,93.52489,-18.521809,-3.3584065,-14.835552,-28.113504,19.351067,-34.728275,-12.634978,-5.8073945,-12.143246,4.448122,-23.900875,-5.257238,-2.5856993,-19.151104,-1.1330807,0.64652467,152.43575060036935,0.1083984375,810103241,810103241
2.wav,-202.92825,126.33698,-33.23609,96.760185,-25.43603,-17.15713,-10.361688,-27.145792,10.516275,-21.528378,-7.124009,0.94969773,-4.1464276,-9.001712,-8.752765,5.478674,-17.794533,-0.20951271,5.4754725,-12.599579,231.47552428393257,0.10040283203125,810103241,810103241
20.wav,-212.3559,165.3537,-33.76888,48.905453,-18.090927,-11.561825,11.112984,-5.86196,4.4917545,-31.9233,-15.445515,0.7755977,-17.220495,3.8011527,-0.6638663,-10.108592,-3.5820858,-7.5337067,-3.7326155,-3.2509212,180.3421297890988,0.073150634765625,810103241,810103241
3.wav,-180.13493,161.25461,-34.731537,82.25896,-10.961516,-6.164878,6.008628,-19.97209,10.141214,-11.667585,6.664222,-7.6315737,-29.76067,0.6762747,-11.658764,-8.706558,-1.8795393,-7.4153557,-1.7925054,-2.73062,171.32950079054697,0.0555419921875,810103241,810103241
4.wav,-211.17429,150.68994,-63.952164,58.540886,-30.299372,-19.030064,-5.696577,-25.739267,19.088629,-15.055794,-17.075714,-3.1817136,-12.296809,-6.452355,-8.576044,-4.8843594,-9.875381,-4.7605114,-1.5846905,-7.075758,247.7362358027792,0.08538818359375,810103241,810103241
5.wav,-160.01788,160.08623,-77.870415,54.68479,-47.841454,-1.536753,20.707483,-24.879688,16.75807,-19.189241,-2.3698626,4.7796655,-24.654613,-2.671304,-8.888283,-9.699611,-14.550471,-12.276592,1.4303492,-11.200341,182.50087140495933,0.1064453125,810103241,810103241
6.wav,-223.82434,145.55392,-110.13623,58.82301,-23.410908,-11.13324,11.711352,-27.756672,19.983765,-9.6198015,-17.09938,-0.82479763,-6.5849705,9.238525,-7.4784927,-7.177413,-2.721129,-13.688122,-0.65466535,0.20032972,192.5375516109329,0.13079833984375,810103241,810103241
7.wav,-253.9392,132.59756,-50.2632,97.02804,0.402534,4.639493,20.17415,-10.779723,21.784094,-4.321568,-7.3059654,9.684376,3.4209447,1.4104578,-2.8897328,4.4922433,5.470484,-1.5185673,-0.89190835,-0.15011585,96.24264039137304,0.121002197265625,810103241,810103241
8.wav,-163.52777,148.22256,-63.088905,66.27514,-20.389328,-1.4551624,14.577288,-14.957109,29.342663,-18.373676,-10.21009,1.1224561,-29.500553,7.4357643,-8.180426,-19.172436,-1.2972114,-8.223211,1.8705195,-6.7302756,182.43553945668657,0.08245849609375,810103241,810103241
9.wav,-153.31494,158.0397,-74.24351,46.252415,-56.571907,14.096551,10.096436,-53.87565,8.690741,-11.686263,-2.500254,5.8147874,-10.483063,-4.827621,-7.2161283,3.1728947,-11.880838,-10.645442,4.579322,-5.693464,226.62448628571127,0.107391357421875,810103241,810103241
1.wav,-222.36655,172.43431,-63.18446,17.574871,-35.703365,-0.8419602,-3.1603863,-55.01754,-15.245091,-0.6667075,5.7190166,-9.277166,1.4644821,4.534877,-23.669426,11.912603,-3.0941055,-23.972992,14.005378,4.0408473,212.704335738853,0.099639892578125,810103241,810103241
10.wav,-215.88817,168.81853,-41.34291,60.224552,-18.375721,1.8908738,-12.465555,-43.252926,-6.1053553,-15.562512,8.781979,-16.29868,-4.79297,27.807602,-26.395664,1.816562,15.863108,-29.387192,-7.727746,4.2053566,138.2273054372195,0.07049560546875,810103241,810103241
11.wav,-252.57468,162.86157,-59.68924,30.510368,-27.00238,10.272271,-10.705865,-54.282314,-14.962805,-17.688988,9.955512,-8.182909,1.0109086,24.465443,-26.411766,3.032015,15.928365,-21.711514,-9.413767,-3.5747824,1642.165459978958,0.0897216796875,810103241,810103241
12.wav,-185.83601,102.888626,-49.31074,112.343704,-7.4968557,-7.7825165,-21.17996,-39.958878,-2.9129329,-31.367758,1.3891176,-12.720674,-15.812294,7.2343764,-13.065269,2.260629,-7.214135,-6.367074,1.779149,-6.3733525,136.9524553353439,0.125213623046875,810103241,810103241
13.wav,-286.40286,126.43512,-18.797686,73.17561,-45.81435,9.999224,-1.7677217,-45.423756,-8.823055,-14.868412,13.64101,-3.6945615,-6.42311,-0.8946103,-18.113815,2.2478356,-4.6065464,-10.465279,-1.3565688,-0.24724317,189.59866549070625,0.155670166015625,810103241,810103241
14.wav,-238.309,150.85187,-81.83139,49.06705,-35.98938,0.009567738,-16.935324,-42.06304,21.75128,-6.4447246,-5.084409,-16.364752,1.9964435,5.5827556,-30.382462,12.503202,-6.3832583,-20.6488,10.288049,-4.0661335,171.48208917916529,0.11724853515625,810103241,810103241
15.wav,-215.27618,139.73517,-41.73254,56.931633,-26.920628,16.980263,-27.67269,-54.370205,-2.8856142,-11.380786,4.018583,-20.269384,11.188126,19.186558,-23.019314,19.033255,5.4519453,-23.57861,6.5121975,-0.70456254,0.0,0.128509521484375,810103241,810103241
16.wav,-149.46512,148.0907,-81.33725,76.1166,-53.839706,2.2159133,-24.02264,-46.618065,7.646126,-27.142323,-4.8993163,-16.290323,10.602858,11.819426,-25.316425,12.136791,-8.905482,-22.435656,3.8653417,-6.783285,0.0,0.14849853515625,810103241,810103241
17.wav,-185.00484,158.20274,-90.65522,70.83061,-24.14378,-17.647816,-19.634417,-38.17754,26.184937,-5.3579054,-11.406467,-4.859826,3.5876749,-0.3511923,-19.171705,11.327269,-4.579307,-6.815906,13.10585,-7.4842553,172.51707958962777,0.128753662109375,810103241,810103241
18.wav,-285.39352,136.64265,-65.27919,78.577736,-25.627426,-13.669119,-3.9005857,-33.883625,13.341706,-9.469452,-10.745079,-8.574124,1.3426797,10.17382,-15.924579,3.2488413,2.7308242,-2.4137905,7.5068593,-4.420968,194.645145252881,0.143280029296875,810103241,810103241
19.wav,-223.1815,168.27097,-58.778503,24.464703,-28.520859,1.8957559,8.515417,-46.22255,-9.171604,-11.679029,-12.453077,-16.606255,-8.334772,19.563055,-18.636562,-7.4735565,4.9276967,-21.616474,3.7331386,-0.85528797,268.136281181638,0.0599365234375,810103241,810103241
2.wav,-239.30692,176.06557,-44.655155,16.199135,-69.781944,8.863222,22.64843,-40.13474,-11.485684,-14.808432,14.377884,-13.675566,-4.7893724,38.20205,-24.375114,-2.0453668,13.463427,-25.964916,8.139802,10.129952,151.36805682754206,0.08905029296875,810103241,810103241
20.wav,-194.8439,170.41006,-47.21464,27.895094,-34.758427,6.4766846,9.6855755,-38.440193,-16.096893,-25.50095,-1.5363469,-18.289793,-17.607624,20.73439,-15.350315,-2.2941644,2.0998132,-16.36899,5.479086,-10.600912,261.5568511210945,0.05810546875,810103241,810103241
3.wav,-169.75003,149.72746,-55.39632,74.634445,-10.393314,-1.3029513,-31.555046,-45.93386,2.8541777,-21.04174,4.276561,-24.584183,0.7266719,34.6712,-32.727142,9.605198,16.595871,-30.885603,0.651719,3.110815,140.1838552531474,0.0875244140625,810103241,810103241
4.wav,-279.37042,149.40497,-59.770622,50.611362,-42.796097,-17.185236,0.58989215,-31.18599,10.456794,-9.468582,-6.553266,-10.310108,-5.909911,7.1534567,-16.819326,8.171365,0.7441319,-11.221441,7.4423394,-8.653397,147.21176281353436,0.111663818359375,810103241,810103241
5.wav,-194.44806,136.1996,-46.61738,69.13437,-20.483234,2.1534224,17.111794,-25.533033,-6.6502814,-16.788557,-3.2783396,-16.562325,-7.3755484,16.234818,-17.03268,1.8796057,10.312535,-12.515762,0.9899611,-0.15504795,138.42061100888935,0.10723876953125,810103241,810103241
6.wav,-207.8003,152.34666,-18.777565,60.86248,14.2162,-0.036340594,-1.339748,-18.33163,7.6029425,-6.9289813,-8.360439,-0.95864743,2.7234883,7.397132,-9.564466,2.643107,5.2631154,-6.5224476,-1.873797,-7.546894,181.6465586538958,0.060760498046875,810103241,810103241
7.wav,-174.56912,125.32157,-91.073105,91.54115,-29.590637,-20.01508,-8.048438,-37.237762,2.7636688,-19.990328,-0.68907684,-11.003393,-2.3094227,20.068802,-20.668604,4.8369417,10.725982,-17.378195,3.59031,7.4915648,156.72167649954773,0.136474609375,810103241,810103241
8.wav,-203.66719,146.45929,-36.021606,45.806797,-48.371452,32.685905,2.375251,-49.818066,13.060052,-8.500426,1.4424953,-13.618776,0.096152425,18.416191,-18.454002,10.993181,-1.7102748,-16.126045,11.785419,-8.55447,167.92146660007475,0.159423828125,810103241,810103241
9.wav,-172.0369,156.21515,-51.052383,64.9883,-12.830255,9.44093,-5.6612406,-34.693893,-11.130594,-32.696014,12.567333,-3.2223313,-6.972072,8.667738,-26.39564,8.950979,-4.277049,-17.523098,13.505275,-4.325812,169.45568750524578,0.0689697265625,810103241,810103241
