filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,code_9_digits,file_number
1.wav,-187.01227,193.53804,-59.96051,59.587357,8.88905,-7.8611584,19.78026,-4.7819557,10.8243,1.1539955,5.7626133,6.1915603,-5.747525,10.216635,-4.801879,-8.305745,4.582866,-0.21870327,7.724878,5.2751555,219.6202992293864,0.057861328125,610399206,610399206
10.wav,-204.83417,206.48071,-75.737045,51.687424,-13.9704895,-1.8656076,19.13779,-8.623867,18.732265,-1.3358057,10.44713,-3.7709928,-5.7910624,22.617912,-17.780079,-4.8475885,10.467243,-7.006343,11.069893,4.997093,0.0,0.053436279296875,610399206,610399206
11.wav,-205.13766,192.90375,-54.70871,64.12622,3.6089,-7.9020414,16.66724,-17.159002,2.9679601,2.0985868,7.2832947,3.577999,-2.1186585,9.37695,-12.405395,-5.5413456,5.9329853,-2.6198425,5.147249,2.7920403,138.94733505157168,0.0521240234375,610399206,610399206
12.wav,-189.96445,188.47807,-52.62867,56.42447,-1.2980168,-3.3737426,9.081118,-15.01936,10.644394,2.9093208,9.895986,5.2554197,3.9324307,11.681789,-10.991754,-2.6268747,2.812046,-1.6761532,4.334365,2.9377887,138.24834448764568,0.049468994140625,610399206,610399206
13.wav,-202.307,171.39676,-29.880135,87.62634,-1.975543,-12.601796,16.75315,-14.592415,0.016898006,-11.731988,3.4081268,2.8777056,-3.8564997,15.662156,-2.4816008,5.073126,5.6961346,-6.1586447,6.1660337,-2.3363862,164.53929846893814,0.03985595703125,610399206,610399206
14.wav,-208.77313,176.54663,-42.093018,75.873795,3.0814416,-0.79725885,14.447738,-13.503773,11.828692,-4.5125337,2.3188467,5.5669804,7.6831136,18.231903,-10.822931,2.4554946,8.9806795,-8.00641,7.6128206,6.1698747,65.40639132514967,0.04095458984375,610399206,610399206
15.wav,-186.10577,201.77988,-55.938408,43.339592,3.6118975,-4.8690705,11.634004,-14.301405,20.1778,18.063484,5.700121,1.0567188,5.3800054,17.728767,-17.002563,-10.322405,9.022163,-9.946077,3.4878714,9.892775,70.47318154325163,0.0582275390625,610399206,610399206
16.wav,-186.03604,193.0701,-27.792343,36.9778,5.1137257,2.5286708,24.3625,-9.7714205,7.0116053,10.172075,1.5684243,7.114235,2.6253347,9.118362,1.3922917,-2.7586942,2.3422177,-1.3251439,8.124699,7.2929487,0.0,0.02740478515625,610399206,610399206
17.wav,-157.90424,178.0979,-33.969177,69.430984,-2.3624911,11.269058,19.396717,-9.268175,15.499041,-4.3898735,7.3393507,3.692819,-2.983064,8.406945,-2.597542,8.740513,-2.7383692,-1.9420552,12.711687,-1.5000564,65.78992665870501,0.02362060546875,610399206,610399206
18.wav,-173.19354,191.72025,-57.849033,60.873116,8.218317,-8.000183,18.530224,-5.504491,10.2482,0.03801489,5.5390053,6.4010305,-5.2530184,10.135231,-4.016056,-6.593304,4.448063,-0.8488536,7.581116,5.5020685,220.5025390879433,0.056671142578125,610399206,610399206
