filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,code_9_digits,file_number
1.wav,-229.98383,145.00984,-63.36409,42.833435,-20.749432,-29.822136,-1.2693307,-22.552248,-11.387038,-12.243963,-0.5147339,-6.292665,-8.678156,-1.2400016,-10.84565,4.05215,-3.1699228,-13.527116,0.10979241,-6.9829173,260.8443262926159,0.113006591796875,810103183,810103183
10.wav,-198.26479,131.54515,-34.884544,92.053345,-34.422092,-22.956318,-6.8808384,-15.366939,12.9791155,-13.901062,12.758184,5.8425717,0.50112355,5.8392515,-8.197531,5.862309,-5.6734514,-1.3996501,2.1149738,-8.682625,205.1095487963396,0.118804931640625,810103183,810103183
11.wav,-211.40053,145.25984,-43.937485,67.61627,-22.006903,-22.538088,6.205122,-23.688166,-1.8593625,-9.273316,-7.4749966,-12.432024,-10.127127,0.54905653,-12.22247,-0.98876953,-7.1327972,-7.1073713,3.4990344,-11.241185,210.93413421443293,0.06488037109375,810103183,810103183
12.wav,-189.5629,168.27652,-45.328102,74.59473,-24.842201,-21.833542,9.5582485,-26.483463,0.79116774,-9.71361,-4.8989773,1.3316019,-2.9575658,5.0092144,-7.876968,-1.3829424,-5.104062,-9.312308,0.83319724,-7.487952,193.52405186138483,0.0692138671875,810103183,810103183
13.wav,-267.74646,136.27283,-55.89479,51.990696,-15.356661,-12.477857,1.1454513,-11.961469,7.302497,-15.106281,0.21153629,3.9950528,-0.8528307,6.4601855,-0.39178497,3.577027,-10.179197,-6.311988,3.315044,-10.333445,238.3494935807953,0.098175048828125,810103183,810103183
14.wav,-189.91446,194.0822,-54.67071,26.432787,-7.704676,-5.6678505,-4.1327047,-31.302908,2.583236,-7.1987166,-9.893047,0.55453396,1.7014331,4.8759966,-11.804104,-2.0006788,-2.2340226,-13.422184,1.1188827,-4.170786,0.0,0.06072998046875,810103183,810103183
15.wav,-191.47194,181.25917,-22.406761,30.456745,-32.39985,-4.62996,17.205662,-24.264431,-3.886717,-10.223901,-11.435168,-3.8701835,-6.9413238,0.61230123,-4.355975,-1.7787452,-0.74381447,-5.5959907,-2.685166,-5.9155283,203.0930686337665,0.03948974609375,810103183,810103183
16.wav,-218.5329,175.91406,-48.894955,60.59301,-24.094551,4.4989758,-1.6435515,-29.714046,7.815217,-14.019326,0.67021406,-3.7838068,0.27226377,6.049178,-18.019802,4.404447,-2.1575584,-15.953707,0.2640258,-4.81821,0.0,0.096649169921875,810103183,810103183
17.wav,-184.8422,164.4645,-13.581491,73.6785,-26.121067,-3.2119923,10.166248,-24.279146,-6.019578,-21.654255,-5.1186233,-7.994173,-8.160899,2.4212718,-8.242152,1.6634957,-10.409907,-9.772388,1.3733548,-9.911731,185.383328749812,0.040191650390625,810103183,810103183
18.wav,-267.0933,154.40933,-38.591393,47.71728,-22.871082,-26.94188,19.413597,-4.3587866,3.9900022,1.7346476,-2.6527822,3.297721,0.653602,-1.3007425,-2.3548856,1.3196476,-3.248681,-7.9920473,-2.1650696,3.1833882,207.14166196547257,0.067596435546875,810103183,810103183
